artist,song,text
ABBA,Ahe's My Kind Of Girl,"Look at her face, its a wonderful face   And it means something special to me   Look at the way that she smiles when she sees me   How lucky can one fellow be?      Shes just my kind of girl, she makes me feel fine   Who could ever believe that she could be mine?   Shes just my kind of girl, without her m blue   And if she ever leaves me what could  do, what could  do?      And when we go for a walk in the park   And she holds me and squeezes my hand   Well go on walking for hours and talking   About all the things that we plan      Shes just my kind of girl, she makes me feel fine   Who could ever believe that she could be mine?   Shes just my kind of girl, without her m blue   And if she ever leaves me what could  do, what could  do?  "
ABBA,"Andante, Andante","Take it easy with me, please   Touch me gently like a summer evening breeze   Take r time, make it slow   Andante, Andante   Just let the feeling grow      Make r fingers soft and light   Let r body be the velvet of the night   Touch my soul,  know how   Andante, Andante   Go slowly with me now      m r music   ( am r music and  am r song)   m r song   ( am r music and  am r song)   Play me time and time again and make me strong   (Play me again cause re making me strong)   Make me sing, make me sound   (You make me sing and  make me)   Andante, Andante   Tread lightly on my ground   Andante, Andante   Oh please dont let me down      Theres a shimmer in r eyes   Like the feeling of a thousand butterflies   Please dont talk, go on, play   Andante, Andante   And let me float away      m r music   ( am r music and  am r song)   m r song   ( am r music and  am r song)   Play me time and time again and make me strong   (Play me again cause re making me strong)   Make me sing, make me sound   (You make me sing and  make me)   Andante, Andante   Tread lightly on my ground   Andante, Andante   Oh please dont let me down      Make me sing, make me sound   (You make me sing and  make me)   Andante, Andante   Tread lightly on my ground   Andante, Andante   Oh please dont let me down   Andante, Andante   Oh please dont let me down  "
ABBA,As Good As New,"ll never know why  had to go   Why  had to put up such a lousy rotten show   Boy,  was tough, packing all my stuff   Saying  dont need  anymore, ve had enough   And now, look at me standing here again cause  found out that   Ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here   Gotta have  near      As good as new, my love for    And keeping it that way is my intention   As good as new and growing too   Yes,  think its taking on a new dimension   ts as good as new, my love for    Just like it used to be and even better   As good as new, thank God its true   Darling, we were always meant to stay together      Feel like a creep, never felt so cheap   Never had a notion that my love could be so deep   How could  make such a dumb mistake   Now  know m not entitled to another break   But please, baby,  beg  to forgive cause  found out that   Ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here   Gotta get  near       thought that our love was at an end but here  am again      As good as new, my love for    And keeping it that way is my intention   As good as new and growing too   Yes,  think its taking on a new dimension   ts as good as new, my love for    Just like it used to be and even better   As good as new, thank God its true   Darling, we were always meant to stay together      Yes the love  have for  feels as good as new   Darling, we were always meant to stay together  "
ABBA,Bang,"Making somebody happy is a question of give and take   You can learn how to show it so come on, give rself a break   Every smile and every little touch   Dont  know that they mean so much   Sweet sweet kisses so tender   Always will return to sender      Like a bang, a boom-a-boomerang   Dum-be-dum-dum be-dum-be-dum-dum   Oh bang, a boom-a-boomerang   Love is a tune  hum-de-hum-hum   So give it away,  think ll learn   Youll get love in return   So bang, a boom-a-boomerang is love   A boom-a-boomerang is love      Love is always around and  can look for it anywhere   When  feel that ve found it my advice is to take good care   Never use it as a selfish tool   Never ever be such a fool   Every feeling re showing   s a boomerang re throwing      Yes a bang, a boom-a-boomerang   Dum-be-dum-dum be-dum-be-dum-dum   Oh bang, a boom-a-boomerang   Love is a tune  hum-de-hum-hum   So give it away,  think ll learn   Youll get love in return   So bang, a boom-a-boomerang is love      And if re warm and tender   ll kiss , return to sender   Please surrender      Bang, a boom-a-boomerang   Dum-be-dum-dum be-dum-be-dum-dum   Oh bang, a boom-a-boomerang is love   A boom-a-boomerang is love  "
ABBA,Bang-A-Boomerang,"Making somebody happy is a question of give and take   You can learn how to show it so come on, give rself a break   Every smile and every little touch   Dont  know that they mean so much   Sweet sweet kisses so tender   Always will return to sender      Like a bang, a boom-a-boomerang   Dumb-be-dumb-dumb be-dumb-be-dumb-dumb   Oh bang, a boom-a-boomerang   Love is a tune  hum-de-hum-hum   By giving away,  think ll learn   Youll get love in return   So bang, a boom-a-boomerang is love   A boom-a-boomerang is love      Love is always around and  can look for it anywhere   When  feel that ve found it my advice is to take good care   Never use it as a selfish tool   Never ever be such a fool   Every feeling re showing   s a boomerang re throwing      Yes a bang, a boom-a-boomerang   Dumb-be-dumb-dumb be-dumb-be-dumb-dumb   Oh bang, a boom-a-boomerang   Love is a tune  hum-de-hum-hum   By giving away,  think ll learn   Youll get love in return   So bang, a boom-a-boomerang is love      And if re warm and tender   ll kiss , return to sender   Please surrender      Bang, a boom-a-boomerang   Dumb-be-dumb-dumb be-dumb-be-dumb-dumb   Oh bang, a boom-a-boomerang is love   A boom-a-boomerang is love  "
ABBA,Burning My Bridges,"Well,  hoot and  holler and  make me mad   And ve always been under r heel   Holy christ what a lousy deal   Now m sick and tired of r tedious ways   And  aint gonna take it no more   Oh no no - walkin out that door      Burning my bridges, cutting my tie   Once again  wanna look into the eye   Being myself   Counting my pride   No un-right neighbours gonna take me for a ride   Burning my bridges   Moving at last   Girl m leaving and m burying the past   Gonna have peace now   You can be free   No one here will make a sucker out of me  "
ABBA,Cassandra,"Down in the street theyre all singing and shouting   Staying alive though the city is dead   Hiding their shame behind hollow laughter   While  are crying alone on r bed      Pity Cassandra that no one believed    But then again  were lost from the start   Now we must suffer and sell our secrets   Bargain, playing smart, aching in our hearts      Sorry Cassandra  misunderstood   Now the last day is dawning   Some of us wanted but none of us would   Listen to words of warning   But on the darkest of nights   Nobody knew how to fight   And we were caught in our sleep   Sorry Cassandra  didnt believe   You really had the power    only saw it as dreams  would weave   Until the final hour      So in the morning r ship will be sailing   Now that r father and sister are gone   There is no reason for  to linger   Youre grieving deeply but still moving on      You know the future is casting a shadow   No one else sees it but  know r fate   Packing r bags, being slow and thorough   Knowing, though re late, that ship is sure to wait      Sorry Cassandra  misunderstood   Now the last day is dawning   Some of us wanted but none of us would   Listen to words of warning   But on the darkest of nights   Nobody knew how to fight   And we were caught in our sleep   Sorry Cassandra  didnt believe   You really had the power    only saw it as dreams  would weave   Until the final hour       watched the ship leaving harbor at sunrise   Sails almost slack in the cool morning rain   She stood on deck, just a tiny figure   Rigid and restrained, blue eyes filled with pain      Sorry Cassandra  misunderstood   Now the last day is dawning   Some of us wanted but none of us would   Listen to words of warning   But on the darkest of nights   Nobody knew how to fight   And we were caught in our sleep   Sorry Cassandra  didnt believe   You really had the power    only saw it as dreams  would weave   Until the final hour      m sorry Cassandra   m sorry Cassandra  "
ABBA,Chiquitita,"Chiquitita, tell me whats wrong   Youre enchained by r own sorrow   n r eyes there is no hope for tomorrow   How  hate to see  like this   There is no way  can deny it    can see that re oh so sad, so quiet      Chiquitita, tell me the truth   m a shoulder  can cry on   Your best friend, m the one  must rely on   You were always sure of rself   Now  see ve broken a feather    hope we can patch it up together      Chiquitita,  and  know   How the heartaches come and they go and the scars theyre leaving   Youll be dancing once again and the pain will end   You will have no time for grieving   Chiquitita,  and  cry   But the sun is still in the sky and shining above    Let me hear  sing once more like  did before   Sing a new song, Chiquitita   Try once more like  did before   Sing a new song, Chiquitita      So the walls came tumbling down   And r loves a blown out candle   All is gone and it seems too hard to handle   Chiquitita, tell me the truth   There is no way  can deny it    see that re oh so sad, so quiet      Chiquitita,  and  know   How the heartaches come and they go and the scars theyre leaving   Youll be dancing once again and the pain will end   You will have no time for grieving   Chiquitita,  and  cry   But the sun is still in the sky and shining above    Let me hear  sing once more like  did before   Sing a new song, Chiquitita   Try once more like  did before   Sing a new song, Chiquitita   Try once more like  did before   Sing a new song, Chiquitita  "
ABBA,Crazy World," was out with the morning sun   Couldnt sleep, so  thought d take a walk    was thinking of  and me   And  went to r house, cause  had to talk       could hardly believe my eyes   When  saw this guy closing r front door   Had the feeling of emptiness like  never had before   And  closed my eyes, will  leave me girl      Then  realized, its a crazy world   As he disapeared in his car    was stunned and  didnt know what to do   Everything  had ever dreamed      Everything in my lifes part of    And  just couldnt move my feet   So  stood on the pavement as  came out   You acted as  didnt know what it was all about      And  closed my eyes, will  leave me girl   Then  realized, its a crazy world   Baby, how could  do it   You just told me lies      And  meet behind my back   With other guys   Baby, how could  tell me   There was only me       was stupid to believe     was blind but now  see   Then  smiled and  took my hand   ""There is something"",  said, ""that  may not know      Theres a couple of men in my life   And one of them is my brother Joe   Hes been gone for a long, long time   But hes back and  think hes gonna stay      Youll be seeing a lot of him, hes so nice in every way""   Then  closed my eyes, never leave me girl   Then  realized, its a crazy world   So  closed my eyes, never leave me girl      Then  realized, its a crazy world   So  closed my eyes, never leave me girl   Then  realized, its a crazy world  "
ABBA,Crying Over You,m waitin for  baby   m sitting all alone    feel so cold without    t chills me to the bone    never thought d leave me   But now  know its true   Oh Lord m blue   m cryin over    m waitin for  baby   m sittin all alone    feel so cold without    t chills me to the bone    never thought d leave me   But now  know its true   Oh Lord m blue   m cryin over       Cryin over    m cryin over    Cryin over   Little memories of things we used to do   Oh Lord m blue   m cryin over    Oh Lord m blue   m cryin over    Oh Lord m blue   m cryin over   
ABBA,Dance,"Oh, my love it makes me sad.   Why did things turn out so bad?   Was it just a dream, everything we did, everything we had?      Baby, give me one more   Dance while the music still goes on   Dont think about tomorrow   Dance and forget our time is gone   Tonights a night we borrow.   Lets make it a memory, a night of our own   A thing to remember when were all alone   So dance, its our way to say goodbye      Yes, all we have to do is   Dance while the music still goes on   This is no time for crying   Dance, dont  hear them play our song   God knows that weve been trying   But we didnt make it cause nothings the same   We just couldnt help it, nobodys to blame   So dance while the music still goes on   And let it be our last goodbye      Yet it seems to make me sad.   Why did things turn out so bad?   Was is just a dream, everything we did, everything we had?      Baby, give me one last   Dance while the music still goes on   Just like the night  met    Dance and believe me, when re gone   You know  wont forget    Our love was a snowbird, its flying away   You tell me its over, what more can  say?   So dance while the music still goes on   ts gonna be our last goodbye      Dance while the music still goes on   Dont think about tomorrow   Dance and forget our time is gone   Tonights a night we borrow.   Lets make it a memory, a night of our own   A thing to remember when were all alone   So dance while the music still goes on   And let it be our last goodbye      Dance while the music still goes on   This is no time for crying   Dance, dont  hear them play our song   God knows that weve been trying   Dance while the music still goes on   Just like the night  met    Dance and believe me, when re gone   You know  wont forget       (fade)  "
ABBA,Dancing Queen,"You can dance,  can jive, having the time of r life   See that girl, watch that scene, diggin the Dancing Queen      Friday night and the lights are low   Looking out for the place to go   Where they play the right music, getting in the swing   You come in to look for a king   Anybody could be that guy   Night is ng and the musics high   With a bit of rock music, everything is fine   Youre in the mood for a dance   And when  get the chance      You are the Dancing Queen, ng and sweet, only seventeen   Dancing Queen, feel the beat from the tambourine   You can dance,  can jive, having the time of r life   See that girl, watch that scene, diggin the Dancing Queen      Youre a teaser,  turn em on   Leave them burning and then re gone   Looking out for another, anyone will do   Youre in the mood for a dance   And when  get the chance      You are the Dancing Queen, ng and sweet, only seventeen   Dancing Queen, feel the beat from the tambourine   You can dance,  can jive, having the time of r life   See that girl, watch that scene, diggin the Dancing Queen  "
ABBA,Disillusion,"Changing, moving in a circle    can see r face in all of my dreams   Smiling, laughing from the shadows   When  hear r voice,  know what it means    know it doesnt matter just how hard  try   Youre all the reason for my life      Disillusion, disillusions all  left for me   How can  forget  when my world is breaking down   Youre all  had, re all  want   Disillusion, disillusions, now thats all  have      Wishing, hoping, chasing shadows   Did  see r face somewhere in the crowd   Thinking, wondering what re doing    cant stop myself from crying out loud   They say my wound will heal and only leave a scar   But then, they never shared our love      Disillusion, disillusions all  left for me   How can  forget  when my world is breaking down   Youre all  had, re all  want   Disillusion, disillusions, now thats all  have      Disillusion, disillusions, now thats all  have  "
ABBA,Does Your Mother Know,"Youre so hot, teasing me   So re blue but  cant take a chance on a chick like    Thats something  couldnt do   Theres that look in r eyes    can read in r face that r feelings are driving  wild   Ah, but girl re only a child      Well  can dance with  honey   f  think its funny   Does r mother know that re out?   And  can chat with  baby   Flirt a little maybe   Does r mother know that re out?      Take it easy (take it easy)   Better slow down girl   Thats no way to go   Does r mother know?      Take it easy (take it easy)   Try to cool it girl   Take it nice and slow   Does r mother know?       can see what  want   But  seem pretty ng to be searching for that kind of fun   So maybe m not the one   Now re so cute,  like r style   And  know what  mean when  give me a flash of that smile (smile)   But girl re only a child      Well  can dance with  honey   f  think its funny   Does r mother know that re out?   And  can chat with  baby   Flirt a little maybe   Does r mother know that re out?      Take it easy (take it easy)   Better slow down girl   Thats no way to go   Does r mother know?      Take it easy (take it easy)   Try to cool it girl   Take it nice and slow   Does r mother know?      Well  can dance with  honey   f  think its funny   Does r mother know that re out?   And  can chat with  baby      Flirt a little maybe   Does r mother know that re out?  "
